label;x_size;y_size;z_size;centroid;num_points
1;118.0;210.0;264.0;[-43986245.0, -124464237.0, 24962.0];10
3;1234.0;4324.0;585.0;[-43985638.0, -124460825.0, 25110.5];14
4;1002.0;3984.0;417.0;[-43986158.0, -124461099.0, 25026.5];43
5;22329.0;24881.0;579.0;[-43997260.5, -124455143.5, 25007.5];79
6;794.0;576.0;327.0;[-43987050.0, -124460054.0, 25116.5];11
7;887.0;672.0;227.0;[-43987864.5, -124460586.0, 25042.5];16
8;10711.0;4079.0;471.0;[-43992843.5, -124458879.5, 25006.5];35
9;9807.0;3822.0;291.0;[-43993303.5, -124458867.0, 24914.5];25
10;486.0;771.0;18.0;[-43998462.0, -124457837.5, 24773.0];14
11;29455.0;10719.0;473.0;[-43985139.5, -124460988.5, 24980.5];25
12;256.0;393.0;123.0;[-43970797.0, -124466277.5, 25122.5];15
19;368.0;452.0;333.0;[-43984418.0, -124461473.0, 24986.5];31
20;341.0;709.0;258.0;[-43984753.5, -124461726.5, 24950.0];22
21;4636.0;4233.0;902.0;[-43996656.0, -124451382.5, 25202.0];33
23;875.0;5982.0;464.0;[-43998982.5, -124450619.0, 25443.0];15
24;1205.0;7942.0;906.0;[-43999375.5, -124451198.0, 25159.0];15
26;95.0;472.0;501.0;[-43999160.5, -124447363.0, 25148.5];8
27;623.0;4450.0;465.0;[-43999681.5, -124449333.0, 25034.5];11
28;728.0;4508.0;572.0;[-43999708.0, -124449288.0, 25050.0];19
32;360.0;1682.0;346.0;[-43986701.0, -124466694.0, 25034.0];18
34;363.0;461.0;116.0;[-43983322.5, -124464117.5, 24936.0];10
35;626.0;1404.0;115.0;[-43983676.0, -124464109.0, 24936.5];28
36;1013.0;1183.0;380.0;[-43983976.5, -124464166.5, 25052.0];62
37;165.0;390.0;347.0;[-43984141.5, -124464407.0, 25051.5];8
38;231.0;704.0;351.0;[-43984341.5, -124464376.0, 25082.5];30
39;152.0;605.0;304.0;[-43984437.0, -124464387.5, 25038.0];14
40;4417.0;4731.0;615.0;[-43982707.5, -124462907.5, 25152.5];13
41;4408.0;4607.0;616.0;[-43982712.0, -124462921.5, 25150.0];13
42;524.0;707.0;100.0;[-43980799.0, -124460914.5, 24884.0];9
43;860.0;916.0;191.0;[-43980975.0, -124460964.0, 24930.5];43
44;142.0;649.0;133.0;[-43981413.0, -124461112.5, 24963.5];10
45;224.0;868.0;195.0;[-43981390.0, -124461091.0, 24934.5];8
46;133.0;822.0;228.0;[-43981425.5, -124461049.0, 24981.0];8
47;153.0;869.0;298.0;[-43981433.5, -124460982.5, 25016.0];16
48;682.0;2165.0;390.0;[-43981733.0, -124461702.5, 25047.0];10
49;710.0;2217.0;326.0;[-43981756.0, -124461717.5, 25047.0];12
50;348.0;1286.0;125.0;[-43982294.0, -124462276.0, 24892.5];14
51;275.0;232.0;62.0;[-43982409.5, -124461635.0, 24861.0];8
52;364.0;1490.0;99.0;[-43982496.0, -124462150.0, 24891.5];18
53;365.0;1704.0;157.0;[-43982824.5, -124462202.0, 24905.5];31
54;418.0;1581.0;174.0;[-43982900.0, -124462203.5, 24928.0];36
55;1143.0;1049.0;125.0;[-43983604.5, -124462363.5, 24868.5];15
56;1078.0;1272.0;245.0;[-43983689.0, -124462479.0, 24933.5];32
57;730.0;1363.0;259.0;[-43983864.0, -124462473.5, 24926.5];12
58;142.0;740.0;145.0;[-43984210.0, -124462822.0, 24868.5];12
59;513.0;943.0;149.0;[-43984396.5, -124462775.5, 24876.5];40
60;4580.0;7883.0;552.0;[-43986916.0, -124459222.5, 25086.0];10
61;477.0;560.0;725.0;[-43989417.5, -124455485.0, 25383.5];39
62;373.0;517.0;787.0;[-43989443.5, -124455459.5, 25453.5];33
63;167.0;535.0;604.0;[-43989606.5, -124455494.5, 25481.0];11
64;133.0;404.0;532.0;[-43989614.5, -124455428.0, 25631.0];12
65;148.0;505.0;744.0;[-43989648.0, -124455489.5, 25545.0];17
66;342.0;492.0;909.0;[-43989751.0, -124455471.0, 25531.5];55
67;273.0;438.0;662.0;[-43989733.5, -124455499.0, 25532.0];13
68;249.0;383.0;935.0;[-43989906.5, -124455467.5, 25546.5];8
69;600.0;1100.0;453.0;[-43990321.0, -124456111.0, 25467.5];25
70;109.0;376.0;385.0;[-43990557.5, -124456484.0, 25535.5];8
71;544.0;1569.0;804.0;[-43990804.0, -124456185.5, 25520.0];38
72;544.0;1699.0;825.0;[-43990813.0, -124456119.5, 25446.5];21
73;275.0;1378.0;611.0;[-43990953.5, -124456194.0, 25521.5];8
74;303.0;1562.0;837.0;[-43990957.5, -124456161.0, 25525.5];14
75;7039.0;7971.0;1006.0;[-43994360.5, -124452988.5, 25466.0];26
76;255.0;1473.0;820.0;[-43990995.5, -124456310.5, 25612.0];10
77;6958.0;8397.0;1121.0;[-43994375.0, -124453200.5, 25484.5];82
78;738.0;1783.0;957.0;[-43991245.0, -124456352.5, 25437.5];62
79;60.0;189.0;241.0;[-43991325.0, -124455653.5, 25710.5];10
80;375.0;1649.0;576.0;[-43991497.5, -124456383.5, 25385.0];7
82;473.0;1672.0;292.0;[-43991687.5, -124456626.0, 25568.0];11
83;388.0;1750.0;585.0;[-43991911.0, -124456755.0, 25332.5];45
85;634.0;916.0;786.0;[-43992306.0, -124457493.0, 25169.0];34
86;555.0;1781.0;361.0;[-43992148.5, -124456915.5, 25404.5];8
87;631.0;1767.0;418.0;[-43992178.5, -124456920.5, 25342.0];12
88;692.0;2135.0;619.0;[-43992190.0, -124456987.5, 25135.5];15
89;843.0;2182.0;762.0;[-43992257.5, -124456960.0, 25143.0];37
90;733.0;1826.0;380.0;[-43992220.5, -124456919.0, 25299.0];31
91;285.0;730.0;577.0;[-43992500.5, -124457562.0, 25148.5];16
92;30333.0;11211.0;910.0;[-43977549.5, -124460599.5, 25450.0];13
94;28128.0;12134.0;707.0;[-43975600.0, -124461153.0, 25544.5];25
95;2513.0;1988.0;755.0;[-43963060.5, -124465568.0, 25518.5];26
96;1686.0;1441.0;506.0;[-43963347.0, -124465644.5, 25450.0];9
97;27007.0;12221.0;638.0;[-43976141.5, -124461173.5, 25580.0];7
98;1643.0;1974.0;614.0;[-43962686.5, -124465533.0, 25468.0];11
99;1786.0;1601.0;651.0;[-43963619.0, -124466524.5, 25544.5];13
101;657.0;1607.0;242.0;[-43964624.5, -124466722.5, 25247.0];39
102;590.0;1426.0;252.0;[-43964642.0, -124466834.0, 25248.0];18
103;514.0;1237.0;246.0;[-43964642.0, -124466904.5, 25233.0];13
104;33096.0;18775.0;769.0;[-43981282.0, -124458414.5, 25392.5];67
105;1730.0;1592.0;574.0;[-43965606.0, -124467027.0, 25402.0];56
106;892.0;944.0;379.0;[-43965640.0, -124467254.0, 25383.5];12
107;88.0;152.0;494.0;[-43997855.0, -124449077.0, 25216.0];8
108;103.0;188.0;456.0;[-43997881.5, -124449018.0, 25267.0];9
109;873.0;453.0;288.0;[-43990948.5, -124459409.5, 25186.0];9
110;158.0;280.0;192.0;[-43991455.0, -124459574.0, 25048.0];15
111;261.0;1549.0;1149.0;[-43991660.5, -124460064.5, 25381.5];17
112;206.0;1702.0;1164.0;[-43991679.0, -124460060.0, 25355.0];10
113;264.0;1657.0;1080.0;[-43991691.0, -124460045.5, 25342.0];8
